Name,Index_Name,Ticker_Symbols
NIFTY 100,ind_nifty100list,ACC.NS ABBOTINDIA.NS ADANIENT.NS ADANIGREEN.NS ADANIPORTS.NS ADANITRANS.NS ALKEM.NS AMBUJACEM.NS APOLLOHOSP.NS ASIANPAINT.NS AUROPHARMA.NS DMART.NS AXISBANK.NS BAJAJ-AUTO.NS BAJFINANCE.NS BAJAJFINSV.NS BAJAJHLDNG.NS BANDHANBNK.NS BERGEPAINT.NS BPCL.NS BHARTIARTL.NS BIOCON.NS BOSCHLTD.NS BRITANNIA.NS CADILAHC.NS CIPLA.NS COALINDIA.NS COLPAL.NS DLF.NS DABUR.NS DIVISLAB.NS DRREDDY.NS EICHERMOT.NS GAIL.NS GLAND.NS GODREJCP.NS GRASIM.NS HCLTECH.NS HDFCAMC.NS HDFCBANK.NS HDFCLIFE.NS HAVELLS.NS HEROMOTOCO.NS HINDALCO.NS HINDPETRO.NS HINDUNILVR.NS HDFC.NS ICICIBANK.NS ICICIGI.NS ICICIPRULI.NS ITC.NS IOC.NS IGL.NS INDUSTOWER.NS INDUSINDBK.NS NAUKRI.NS INFY.NS INDIGO.NS JSWSTEEL.NS JUBLFOOD.NS KOTAKBANK.NS LTI.NS LT.NS LUPIN.NS MRF.NS M&M.NS MARICO.NS MARUTI.NS MUTHOOTFIN.NS NMDC.NS NTPC.NS NESTLEIND.NS ONGC.NS PETRONET.NS PIDILITIND.NS PEL.NS POWERGRID.NS PGHH.NS PNB.NS RELIANCE.NS SBICARD.NS SBILIFE.NS SHREECEM.NS SIEMENS.NS SBIN.NS SUNPHARMA.NS TCS.NS TATACONSUM.NS TATAMOTORS.NS TATASTEEL.NS TECHM.NS TITAN.NS TORNTPHARM.NS UPL.NS ULTRACEMCO.NS UBL.NS MCDOWELL-N.NS VEDL.NS WIPRO.NS YESBANK.NS
NIFTY 200,ind_nifty200list,ACC.NS AUBANK.NS AARTIIND.NS ABBOTINDIA.NS ADANIENT.NS ADANIGREEN.NS ADANIPORTS.NS ATGL.NS ADANITRANS.NS ABCAPITAL.NS ABFRL.NS AJANTPHARM.NS APLLTD.NS ALKEM.NS AMARAJABAT.NS AMBUJACEM.NS APOLLOHOSP.NS APOLLOTYRE.NS ASHOKLEY.NS ASIANPAINT.NS AUROPHARMA.NS DMART.NS AXISBANK.NS BAJAJ-AUTO.NS BAJFINANCE.NS BAJAJFINSV.NS BAJAJHLDNG.NS BALKRISIND.NS BANDHANBNK.NS BANKBARODA.NS BANKINDIA.NS BATAINDIA.NS BERGEPAINT.NS BEL.NS BHARATFORG.NS BHEL.NS BPCL.NS BHARTIARTL.NS BIOCON.NS BBTC.NS BOSCHLTD.NS BRITANNIA.NS CESC.NS CADILAHC.NS CANBK.NS CASTROLIND.NS CHOLAFIN.NS CIPLA.NS CUB.NS COALINDIA.NS COFORGE.NS COLPAL.NS CONCOR.NS COROMANDEL.NS CROMPTON.NS CUMMINSIND.NS DLF.NS DABUR.NS DALBHARAT.NS DEEPAKNTR.NS DHANI.NS DIVISLAB.NS DIXON.NS LALPATHLAB.NS DRREDDY.NS EICHERMOT.NS EMAMILTD.NS ENDURANCE.NS ESCORTS.NS EXIDEIND.NS FEDERALBNK.NS FORTIS.NS GAIL.NS GMRINFRA.NS GLAND.NS GLENMARK.NS GODREJAGRO.NS GODREJCP.NS GODREJIND.NS GODREJPROP.NS GRASIM.NS GUJGASLTD.NS GSPL.NS HCLTECH.NS HDFCAMC.NS HDFCBANK.NS HDFCLIFE.NS HAVELLS.NS HEROMOTOCO.NS HINDALCO.NS HAL.NS HINDPETRO.NS HINDUNILVR.NS HINDZINC.NS HDFC.NS ICICIBANK.NS ICICIGI.NS ICICIPRULI.NS ISEC.NS IDFCFIRSTB.NS ITC.NS IBULHSGFIN.NS INDIAMART.NS INDHOTEL.NS IOC.NS IRCTC.NS IGL.NS INDUSTOWER.NS INDUSINDBK.NS NAUKRI.NS INFY.NS INDIGO.NS IPCALAB.NS JSWENERGY.NS JSWSTEEL.NS JINDALSTEL.NS JUBLFOOD.NS KOTAKBANK.NS L&TFH.NS LTTS.NS LICHSGFIN.NS LTI.NS LT.NS LAURUSLABS.NS LUPIN.NS MRF.NS MGL.NS M&MFIN.NS M&M.NS MANAPPURAM.NS MARICO.NS MARUTI.NS MFSL.NS MINDTREE.NS MPHASIS.NS MUTHOOTFIN.NS NATCOPHARM.NS NMDC.NS NTPC.NS NAVINFLUOR.NS NESTLEIND.NS NAM-INDIA.NS OBEROIRLTY.NS ONGC.NS OIL.NS PIIND.NS PAGEIND.NS PETRONET.NS PFIZER.NS PIDILITIND.NS PEL.NS POLYCAB.NS PFC.NS POWERGRID.NS PRESTIGE.NS PGHH.NS PNB.NS RBLBANK.NS RECLTD.NS RELIANCE.NS SBICARD.NS SBILIFE.NS SRF.NS SANOFI.NS SHREECEM.NS SRTRANSFIN.NS SIEMENS.NS SBIN.NS SAIL.NS SUNPHARMA.NS SUNTV.NS SYNGENE.NS TVSMOTOR.NS TATACHEM.NS TCS.NS TATACONSUM.NS TATAELXSI.NS TATAMOTORS.NS TATAPOWER.NS TATASTEEL.NS TECHM.NS RAMCOCEM.NS TITAN.NS TORNTPHARM.NS TORNTPOWER.NS TRENT.NS UPL.NS ULTRACEMCO.NS UNIONBANK.NS UBL.NS MCDOWELL-N.NS VGUARD.NS VBL.NS VEDL.NS IDEA.NS VOLTAS.NS WHIRLPOOL.NS WIPRO.NS YESBANK.NS ZEEL.NS
NIFTY 50,ind_nifty50list,ADANIPORTS.NS ASIANPAINT.NS AXISBANK.NS BAJAJ-AUTO.NS BAJFINANCE.NS BAJAJFINSV.NS BPCL.NS BHARTIARTL.NS BRITANNIA.NS CIPLA.NS COALINDIA.NS DIVISLAB.NS DRREDDY.NS EICHERMOT.NS GRASIM.NS HCLTECH.NS HDFCBANK.NS HDFCLIFE.NS HEROMOTOCO.NS HINDALCO.NS HINDUNILVR.NS HDFC.NS ICICIBANK.NS ITC.NS IOC.NS INDUSINDBK.NS INFY.NS JSWSTEEL.NS KOTAKBANK.NS LT.NS M&M.NS MARUTI.NS NTPC.NS NESTLEIND.NS ONGC.NS POWERGRID.NS RELIANCE.NS SBILIFE.NS SHREECEM.NS SBIN.NS SUNPHARMA.NS TCS.NS TATACONSUM.NS TATAMOTORS.NS TATASTEEL.NS TECHM.NS TITAN.NS UPL.NS ULTRACEMCO.NS WIPRO.NS
NIFTY 500,ind_nifty500list,3MINDIA.NS ABB.NS POWERINDIA.NS ACC.NS AIAENG.NS APLAPOLLO.NS AUBANK.NS AARTIDRUGS.NS AARTIIND.NS AAVAS.NS ABBOTINDIA.NS ADANIENT.NS ADANIGREEN.NS ADANIPORTS.NS ATGL.NS ADANITRANS.NS ABCAPITAL.NS ABFRL.NS ADVENZYMES.NS AEGISCHEM.NS AFFLE.NS AJANTPHARM.NS AKZOINDIA.NS ALEMBICLTD.NS APLLTD.NS ALKEM.NS ALKYLAMINE.NS ALOKINDS.NS AMARAJABAT.NS AMBER.NS AMBUJACEM.NS ANGELBRKG.NS APOLLOHOSP.NS APOLLOTYRE.NS ASAHIINDIA.NS ASHOKLEY.NS ASHOKA.NS ASIANPAINT.NS ASTERDM.NS ASTRAZEN.NS ASTRAL.NS ATUL.NS AUROPHARMA.NS AVANTIFEED.NS DMART.NS AXISBANK.NS BASF.NS BEML.NS BSE.NS BAJAJ-AUTO.NS BAJAJCON.NS BAJAJELEC.NS BAJFINANCE.NS BAJAJFINSV.NS BAJAJHLDNG.NS BALAMINES.NS BALKRISIND.NS BALMLAWRIE.NS BALRAMCHIN.NS BANDHANBNK.NS BANKBARODA.NS BANKINDIA.NS MAHABANK.NS BATAINDIA.NS BAYERCROP.NS BERGEPAINT.NS BDL.NS BEL.NS BHARATFORG.NS BHEL.NS BPCL.NS BHARATRAS.NS BHARTIARTL.NS BIOCON.NS BIRLACORPN.NS BSOFT.NS BLISSGVS.NS BLUEDART.NS BLUESTARCO.NS BBTC.NS BOSCHLTD.NS BRIGADE.NS BRITANNIA.NS BURGERKING.NS CCL.NS CESC.NS CRISIL.NS CSBBANK.NS CADILAHC.NS CANFINHOME.NS CANBK.NS CAPLIPOINT.NS CGCL.NS CARBORUNIV.NS CASTROLIND.NS CEATLTD.NS CENTRALBK.NS CDSL.NS CENTURYPLY.NS CENTURYTEX.NS CERA.NS CHALET.NS CHAMBLFERT.NS CHOLAHLDNG.NS CHOLAFIN.NS CIPLA.NS CUB.NS COALINDIA.NS COCHINSHIP.NS COFORGE.NS COLPAL.NS CAMS.NS CONCOR.NS COROMANDEL.NS CREDITACC.NS CROMPTON.NS CUMMINSIND.NS CYIENT.NS DCBBANK.NS DCMSHRIRAM.NS DLF.NS DABUR.NS DALBHARAT.NS DEEPAKNTR.NS DELTACORP.NS DHANI.NS DHANUKA.NS DBL.NS DISHTV.NS DCAL.NS DIVISLAB.NS DIXON.NS LALPATHLAB.NS DRREDDY.NS EIDPARRY.NS EIHOTEL.NS EPL.NS EDELWEISS.NS EICHERMOT.NS ELGIEQUIP.NS EMAMILTD.NS ENDURANCE.NS ENGINERSIN.NS EQUITAS.NS ERIS.NS ESCORTS.NS EXIDEIND.NS FDC.NS FEDERALBNK.NS FINEORG.NS FINCABLES.NS FINPIPE.NS FSL.NS FORTIS.NS FCONSUMER.NS FRETAIL.NS GAIL.NS GEPIL.NS GMMPFAUDLR.NS GMRINFRA.NS GALAXYSURF.NS GRSE.NS GARFIBRES.NS GICRE.NS GILLETTE.NS GLAND.NS GLAXO.NS GLENMARK.NS GODFRYPHLP.NS GODREJAGRO.NS GODREJCP.NS GODREJIND.NS GODREJPROP.NS GRANULES.NS GRAPHITE.NS GRASIM.NS GESHIP.NS GREAVESCOT.NS GRINDWELL.NS GUJALKALI.NS GAEL.NS FLUOROCHEM.NS GUJGASLTD.NS GNFC.NS GPPL.NS GSFC.NS GSPL.NS GULFOILLUB.NS HEG.NS HCLTECH.NS HDFCAMC.NS HDFCBANK.NS HDFCLIFE.NS HFCL.NS HAPPSTMNDS.NS HATSUN.NS HAVELLS.NS HEIDELBERG.NS HEMIPROP.NS HEROMOTOCO.NS HSCL.NS HINDALCO.NS HAL.NS HINDCOPPER.NS HINDPETRO.NS HINDUNILVR.NS HINDZINC.NS HONAUT.NS HUDCO.NS HDFC.NS HUHTAMAKI.NS ICICIBANK.NS ICICIGI.NS ICICIPRULI.NS ISEC.NS IDBI.NS IDFCFIRSTB.NS IDFC.NS IFBIND.NS IIFL.NS IIFLWAM.NS IOLCP.NS IRB.NS IRCON.NS ITC.NS ITI.NS INDIACEM.NS IBULHSGFIN.NS IBREALEST.NS INDIAMART.NS INDIANB.NS IEX.NS INDHOTEL.NS IOC.NS IOB.NS IRCTC.NS ICIL.NS INDOCO.NS IGL.NS INDUSTOWER.NS INDUSINDBK.NS INFIBEAM.NS NAUKRI.NS INFY.NS INGERRAND.NS INOXLEISUR.NS INTELLECT.NS INDIGO.NS IPCALAB.NS JBCHEPHARM.NS JKCEMENT.NS JKLAKSHMI.NS JKPAPER.NS JKTYRE.NS JMFINANCIL.NS JSWENERGY.NS JSWSTEEL.NS JTEKTINDIA.NS JAMNAAUTO.NS JINDALSAW.NS JSLHISAR.NS JSL.NS JINDALSTEL.NS JCHAC.NS JUBLFOOD.NS JUSTDIAL.NS JYOTHYLAB.NS KPRMILL.NS KEI.NS KNRCON.NS KPITTECH.NS KRBL.NS KSB.NS KAJARIACER.NS KALPATPOWR.NS KANSAINER.NS KARURVYSYA.NS KSCL.NS KEC.NS KOTAKBANK.NS L&TFH.NS LTTS.NS LICHSGFIN.NS LAOPALA.NS LAXMIMACH.NS LTI.NS LT.NS LAURUSLABS.NS LEMONTREE.NS LINDEINDIA.NS LUPIN.NS LUXIND.NS MASFIN.NS MMTC.NS MOIL.NS MRF.NS MGL.NS MAHSCOOTER.NS MAHSEAMLES.NS M&MFIN.NS M&M.NS MAHINDCIE.NS MHRIL.NS MAHLOG.NS MANAPPURAM.NS MRPL.NS MARICO.NS MARUTI.NS MFSL.NS MAXHEALTH.NS MAZDOCK.NS METROPOLIS.NS MINDTREE.NS MINDACORP.NS MINDAIND.NS MIDHANI.NS MOTILALOFS.NS MPHASIS.NS MCX.NS MUTHOOTFIN.NS NATCOPHARM.NS NBCC.NS NCC.NS NESCO.NS NHPC.NS NLCINDIA.NS NMDC.NS NOCIL.NS NTPC.NS NH.NS NATIONALUM.NS NFL.NS NAVINFLUOR.NS NESTLEIND.NS NETWORK18.NS NILKAMAL.NS NAM-INDIA.NS OBEROIRLTY.NS ONGC.NS OIL.NS OFSS.NS ORIENTELEC.NS PIIND.NS PNBHOUSING.NS PNCINFRA.NS PVR.NS PAGEIND.NS PERSISTENT.NS PETRONET.NS PFIZER.NS PHILIPCARB.NS PHOENIXLTD.NS PIDILITIND.NS PEL.NS POLYMED.NS POLYCAB.NS POLYPLEX.NS PFC.NS POWERGRID.NS PRESTIGE.NS PRINCEPIPE.NS PRSMJOHNSN.NS PGHL.NS PGHH.NS PNB.NS QUESS.NS RBLBANK.NS RECLTD.NS RHIM.NS RITES.NS RADICO.NS RVNL.NS RAIN.NS RAJESHEXPO.NS RALLIS.NS RCF.NS RATNAMANI.NS RAYMOND.NS REDINGTON.NS RELAXO.NS RELIANCE.NS RESPONIND.NS ROSSARI.NS ROUTE.NS SBICARD.NS SBILIFE.NS SIS.NS SJVN.NS SKFINDIA.NS SRF.NS SANOFI.NS SCHAEFFLER.NS SCHNEIDER.NS SEQUENT.NS SHARDACROP.NS SFL.NS SHILPAMED.NS SCI.NS SHOPERSTOP.NS SHREECEM.NS SHRIRAMCIT.NS SRTRANSFIN.NS SIEMENS.NS SOBHA.NS SOLARINDS.NS SOLARA.NS SONATSOFTW.NS SPANDANA.NS SPICEJET.NS STARCEMENT.NS SBIN.NS SAIL.NS SWSOLAR.NS STLTECH.NS STAR.NS SUDARSCHEM.NS SUMICHEM.NS SPARC.NS SUNPHARMA.NS SUNTV.NS SUNCLAYLTD.NS SUNDARMFIN.NS SUNDRMFAST.NS SUNTECK.NS SUPRAJIT.NS SUPREMEIND.NS SUPPETRO.NS SUVENPHAR.NS SUZLON.NS SWANENERGY.NS SYMPHONY.NS SYNGENE.NS TCIEXP.NS TCNSBRANDS.NS TTKPRESTIG.NS TV18BRDCST.NS TVSMOTOR.NS TANLA.NS TASTYBITE.NS TATACHEM.NS TATACOFFEE.NS TATACOMM.NS TCS.NS TATACONSUM.NS TATAELXSI.NS TATAINVEST.NS TATAMTRDVR.NS TATAMOTORS.NS TATAPOWER.NS TATASTEEL.NS TEAMLEASE.NS TECHM.NS NIACL.NS RAMCOCEM.NS THERMAX.NS THYROCARE.NS TIMKEN.NS TITAN.NS TORNTPHARM.NS TORNTPOWER.NS TRENT.NS TRIDENT.NS TRITURBINE.NS TIINDIA.NS UCOBANK.NS UFLEX.NS UPL.NS UTIAMC.NS UJJIVAN.NS UJJIVANSFB.NS ULTRACEMCO.NS UNIONBANK.NS UBL.NS MCDOWELL-N.NS VGUARD.NS VMART.NS VIPIND.NS VSTIND.NS VAIBHAVGBL.NS VAKRANGEE.NS VALIANTORG.NS VTL.NS VARROC.NS VBL.NS VEDL.NS VENKEYS.NS VINATIORGA.NS IDEA.NS VOLTAS.NS WABCOINDIA.NS WELCORP.NS WELSPUNIND.NS WESTLIFE.NS WHIRLPOOL.NS WIPRO.NS WOCKPHARMA.NS YESBANK.NS ZEEL.NS ZENSARTECH.NS ZYDUSWELL.NS ECLERX.NS
NIFTY Aditya Birla group,ind_nifty_adityabirlalist,ABCAPITAL.NS ABFRL.NS BIRLAMONEY.NS GRASIM.NS HINDALCO.NS ULTRACEMCO.NS IDEA.NS
NIFTY Auto,ind_niftyautolist,AMARAJABAT.NS ASHOKLEY.NS BAJAJ-AUTO.NS BALKRISIND.NS BHARATFORG.NS BOSCHLTD.NS EICHERMOT.NS EXIDEIND.NS HEROMOTOCO.NS MRF.NS M&M.NS MARUTI.NS TVSMOTOR.NS TATAMOTORS.NS TIINDIA.NS
NIFTY Bank,ind_niftybanklist,AUBANK.NS AXISBANK.NS BANDHANBNK.NS FEDERALBNK.NS HDFCBANK.NS ICICIBANK.NS IDFCFIRSTB.NS INDUSINDBK.NS KOTAKBANK.NS PNB.NS RBLBANK.NS SBIN.NS
NIFTY Consumer Durables,ind_niftyconsumerdurableslist,AMBER.NS BATAINDIA.NS BLUESTARCO.NS CROMPTON.NS DIXON.NS HAVELLS.NS KAJARIACER.NS ORIENTELEC.NS RAJESHEXPO.NS RELAXO.NS TTKPRESTIG.NS TITAN.NS VGUARD.NS VOLTAS.NS WHIRLPOOL.NS
NIFTY Dividend Opportunities 50,ind_niftydivopp50list,AMBUJACEM.NS BSE.NS BAJAJ-AUTO.NS BEL.NS BPCL.NS BRITANNIA.NS CESC.NS CDSL.NS CHAMBLFERT.NS COALINDIA.NS COLPAL.NS CUMMINSIND.NS CYIENT.NS EMAMILTD.NS GAIL.NS HEROMOTOCO.NS HAL.NS HINDPETRO.NS HINDUNILVR.NS HINDZINC.NS ISEC.NS ITC.NS IBULHSGFIN.NS INDUSTOWER.NS INFY.NS LT.NS MGL.NS MINDTREE.NS MPHASIS.NS MCX.NS MUTHOOTFIN.NS NMDC.NS NTPC.NS NATIONALUM.NS NESTLEIND.NS ONGC.NS OFSS.NS PETRONET.NS PFIZER.NS PFC.NS POWERGRID.NS RECLTD.NS SANOFI.NS STLTECH.NS SUNTV.NS TCS.NS TATAPOWER.NS TATASTEEL.NS TECHM.NS TORNTPOWER.NS
NIFTY Finance,ind_niftyfinancelist,AXISBANK.NS BAJFINANCE.NS BAJAJFINSV.NS CHOLAFIN.NS HDFCAMC.NS HDFCBANK.NS HDFCLIFE.NS HDFC.NS ICICIBANK.NS ICICIGI.NS ICICIPRULI.NS KOTAKBANK.NS M&MFIN.NS MUTHOOTFIN.NS PEL.NS PFC.NS RECLTD.NS SBILIFE.NS SRTRANSFIN.NS SBIN.NS
NIFTY Financial Services ,ind_niftyfinancialservices25_50list,AXISBANK.NS BAJFINANCE.NS BAJAJFINSV.NS CHOLAFIN.NS HDFCAMC.NS HDFCBANK.NS HDFCLIFE.NS HDFC.NS ICICIBANK.NS ICICIGI.NS ICICIPRULI.NS KOTAKBANK.NS M&MFIN.NS MUTHOOTFIN.NS PEL.NS PFC.NS RECLTD.NS SBILIFE.NS SRTRANSFIN.NS SBIN.NS
NIFTY FMCG,ind_niftyfmcglist,BRITANNIA.NS COLPAL.NS DABUR.NS EMAMILTD.NS GODREJCP.NS HINDUNILVR.NS ITC.NS JUBLFOOD.NS MARICO.NS NESTLEIND.NS PGHH.NS TATACONSUM.NS UBL.NS MCDOWELL-N.NS VBL.NS
NIFTY Growth Sectors,ind_NiftyGrowth_Sectors15_Index,APOLLOHOSP.NS AUROPHARMA.NS BAJAJ-AUTO.NS CIPLA.NS DABUR.NS DIVISLAB.NS DRREDDY.NS GODREJCP.NS HEROMOTOCO.NS HINDUNILVR.NS ITC.NS LUPIN.NS M&M.NS MARUTI.NS NESTLEIND.NS
NIFTY Healthcare,ind_niftyhealthcarelist,ABBOTINDIA.NS ALKEM.NS APOLLOHOSP.NS AUROPHARMA.NS BIOCON.NS CADILAHC.NS CIPLA.NS DIVISLAB.NS LALPATHLAB.NS DRREDDY.NS FORTIS.NS GLENMARK.NS IPCALAB.NS LAURUSLABS.NS LUPIN.NS NATCOPHARM.NS PFIZER.NS SANOFI.NS SUNPHARMA.NS TORNTPHARM.NS
NIFTY High Beta 50,nifty_High_Beta50_Index,AUBANK.NS ADANIENT.NS ADANIPORTS.NS APOLLOTYRE.NS ASHOKLEY.NS AXISBANK.NS BAJFINANCE.NS BAJAJFINSV.NS BANDHANBNK.NS BANKBARODA.NS BHEL.NS BPCL.NS CANFINHOME.NS CANBK.NS CHOLAFIN.NS DLF.NS ESCORTS.NS FEDERALBNK.NS GODREJPROP.NS GRAPHITE.NS GRASIM.NS HINDALCO.NS HDFC.NS ICICIBANK.NS IDFCFIRSTB.NS IBULHSGFIN.NS INDUSINDBK.NS JSWSTEEL.NS JINDALSTEL.NS L&TFH.NS LICHSGFIN.NS M&MFIN.NS MANAPPURAM.NS MARUTI.NS MUTHOOTFIN.NS NCC.NS NMDC.NS NAM-INDIA.NS PEL.NS PFC.NS RBLBANK.NS SRTRANSFIN.NS SBIN.NS SAIL.NS TATAMOTORS.NS TATAPOWER.NS TATASTEEL.NS VEDL.NS IDEA.NS ZEEL.NS
NIFTY IT,ind_niftyitlist,COFORGE.NS HCLTECH.NS INFY.NS LTI.NS MINDTREE.NS MPHASIS.NS OFSS.NS TCS.NS TECHM.NS WIPRO.NS
